		200	300	600	1000	1500	2000
37	30	1.11E-012	5.71E-012	1.19E-011	1.91E-011	2.53E-011	2.96E-011
37	29	5.64E-013	3.01E-012	6.67E-012	1.02E-011	1.36E-011	1.60E-011
37	28	3.00E-013	2.31E-012	5.89E-012	9.90E-012	1.39E-011	1.68E-011
37	27	1.57E-013	1.37E-012	4.00E-012	6.85E-012	9.34E-012	1.10E-011
37	26	7.97E-014	9.45E-013	3.03E-012	5.60E-012	8.16E-012	1.01E-011
37	25	3.99E-014	5.89E-013	2.29E-012	4.51E-012	6.54E-012	7.81E-012
37	24	1.86E-014	3.79E-013	1.59E-012	3.30E-012	4.99E-012	6.21E-012
37	23	7.38E-015	2.29E-013	1.18E-012	2.68E-012	4.18E-012	5.15E-012
37	22	0.00E+000	1.31E-013	7.47E-013	1.77E-012	2.84E-012	3.63E-012
37	21	0.00E+000	7.50E-014	5.37E-013	1.43E-012	2.47E-012	3.18E-012
37	20	0.00E+000	3.83E-014	3.26E-013	9.19E-013	1.61E-012	2.12E-012
37	19	0.00E+000	2.50E-014	2.51E-013	7.92E-013	1.49E-012	1.97E-012
37	18	0.00E+000	1.37E-014	1.44E-013	4.62E-013	8.53E-013	1.14E-012
37	17	0.00E+000	1.27E-014	1.20E-013	4.03E-013	7.79E-013	9.88E-013
36	35	1.79E-011	4.65E-011	6.87E-011	8.68E-011	1.01E-010	1.11E-010
36	34	2.49E-011	5.73E-011	8.82E-011	1.15E-010	1.37E-010	1.52E-010
36	33	8.91E-012	2.75E-011	4.46E-011	5.87E-011	6.95E-011	7.61E-011
36	32	6.14E-012	1.41E-011	2.35E-011	3.38E-011	4.35E-011	5.06E-011
36	31	3.89E-012	1.39E-011	2.52E-011	3.59E-011	4.44E-011	4.99E-011
36	30	1.63E-012	5.86E-012	1.07E-011	1.57E-011	2.09E-011	2.48E-011
36	29	1.15E-012	5.83E-012	1.20E-011	1.92E-011	2.54E-011	2.97E-011
36	28	5.84E-013	3.08E-012	6.75E-012	1.03E-011	1.36E-011	1.60E-011
36	27	3.11E-013	2.36E-012	5.95E-012	9.96E-012	1.39E-011	1.69E-011
36	26	1.63E-013	1.40E-012	4.04E-012	6.88E-012	9.36E-012	1.10E-011
36	25	8.24E-014	9.62E-013	3.06E-012	5.63E-012	8.18E-012	1.01E-011
36	24	4.12E-014	5.99E-013	2.31E-012	4.53E-012	6.54E-012	7.81E-012
36	23	1.92E-014	3.86E-013	1.60E-012	3.31E-012	4.99E-012	6.20E-012
36	22	7.60E-015	2.32E-013	1.19E-012	2.69E-012	4.18E-012	5.14E-012
36	21	0.00E+000	1.33E-013	7.52E-013	1.77E-012	2.83E-012	3.61E-012
36	20	0.00E+000	7.60E-014	5.39E-013	1.43E-012	2.46E-012	3.17E-012
36	19	0.00E+000	3.88E-014	3.27E-013	9.17E-013	1.60E-012	2.11E-012
36	18	0.00E+000	2.53E-014	2.51E-013	7.90E-013	1.48E-012	1.95E-012
36	17	0.00E+000	1.38E-014	1.44E-013	4.60E-013	8.47E-013	1.13E-012
36	16	0.00E+000	1.28E-014	1.20E-013	4.00E-013	7.71E-013	9.77E-013
35	34	1.86E-011	4.76E-011	6.97E-011	8.77E-011	1.02E-010	1.11E-010
35	33	2.58E-011	5.86E-011	8.94E-011	1.16E-010	1.38E-010	1.52E-010
